Project_ID,Area_Type,Built_Up_Area_sqft,Floors,Wall_Thickness_inches,Roof_Type,Soil_Type,Paint_Type,Flooring,Construction_Quality,Cement_Required_bags,Sand_Required_m3,Aggregate_Required_m3,Steel_Required_kg,Bricks_Required_units,Paint_Required_litres,Total_Material_Cost_INR,Labour_Cost_INR,Total_Construction_Cost_INR
P0165,Urban,1566,2,9.0,RCC Sloped Roof,Hard,Royal Emulsion,Italian Marble,Premium,666,39.7,28.9,6511,12894,735,5801493,4423313,10224806
P0166,Semi-Urban,1173,1,4.5,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,485,30.3,18.9,4753,10257,526,2510461,1905684,4416145
P0167,Urban,1621,3,9.0,RCC Flat Roof,Soft,Royal Emulsion,Granite,Premium,679,39.3,30.7,6083,16011,784,6340002,4586349,10926351
P0168,Semi-Urban,1724,1,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Italian Marble,Premium,686,37.9,33.4,7400,15955,797,7322401,5543714,12866115
P0169,Urban,1672,2,6.0,RCC Sloped Roof,Soft,Royal Emulsion,Imported Vitrified Tiles,Premium,727,42.7,25.1,7143,15725,739,7119791,4636305,11756096
P0170,Urban,1162,2,6.0,Slab Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,469,29.1,21.0,5125,10480,494,4337511,3366572,7704083
P0171,Urban,1286,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,553,29.2,23.2,4862,10734,523,4591760,2959399,7551159
P0172,Urban,1570,2,6.0,RCC Flat Roof,Medium,Apex Weather Proof,Imported Vitrified Tiles,Premium,636,37.5,29.4,6171,12834,616,8047582,5706266,13753848
P0173,Urban,1212,1,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,513,31.0,21.2,4666,11908,485,4306476,3025728,7332204
P0174,Semi-Urban,1627,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,647,39.1,31.2,7216,13620,660,7828918,4886188,12715106
P0175,Urban,1333,2,6.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,550,34.6,25.0,5670,12204,647,4319562,2772797,7092359
P0176,Semi-Urban,1670,2,9.0,RCC Flat Roof,Medium,Apex Weather Proof,Italian Marble,Premium,723,39.7,27.5,6023,14829,767,6335512,3942515,10278027
P0177,Semi-Urban,1265,1,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,533,31.1,20.0,4574,11503,613,4565631,3297504,7863135
P0178,Semi-Urban,1167,1,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,520,26.3,19.0,4994,9566,421,4454985,3203675,7658660
P0179,Urban,1146,1,6.0,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,443,26.4,20.4,4350,11318,541,2838227,1746850,4585077
P0180,Urban,1583,2,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,669,37.2,28.3,6109,15271,748,8740505,6108112,14848617
P0181,Urban,1574,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,660,36.4,24.7,6416,14990,735,6810615,5002183,11812798
P0182,Urban,1596,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,624,41.4,31.7,6483,15049,574,5899617,4184164,10083781
P0183,Urban,1184,1,6.0,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,453,28.3,20.4,5208,11750,493,2790749,1822046,4612795
P0184,Urban,1114,1,4.5,RCC Flat Roof,Hard,Standard Acrylic,Ceramic Tiles,Basic,456,25.6,21.6,4519,9427,473,2740318,1797464,4537782
P0185,Rural,1663,1,9.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,668,37.0,31.4,6482,14780,804,6655601,4446628,11102229
P0186,Urban,1257,1,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,504,32.0,20.9,4448,10739,441,4914452,3028722,7943174
P0187,Rural,990,1,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,419,24.5,18.7,4452,8298,414,2574941,1820213,4395154
P0188,Urban,1351,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,529,33.1,25.4,5941,11035,552,4074228,3123867,7198095
P0189,Urban,1265,1,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,504,30.0,20.7,4472,12465,483,4483639,3178079,7661718
P0190,Urban,1586,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,646,44.2,28.1,5987,14938,619,8777560,5512215,14289775
P0191,Urban,1779,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,791,40.2,30.7,6826,17329,644,7301134,5448207,12749341
P0192,Semi-Urban,1073,2,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,423,25.5,21.0,4342,10158,431,2367831,1683462,4051293
P0193,Urban,1131,1,4.5,RCC Flat Roof,Hard,Distemper,Ceramic Tiles,Basic,499,31.0,18.6,4218,9978,436,2504207,1667087,4171294
P0194,Semi-Urban,1199,1,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,462,33.5,18.9,5381,11935,562,4600520,3072571,7673091
P0195,Urban,1738,3,9.0,RCC Flat Roof,Hard,Royal Emulsion,Granite,Premium,721,45.0,26.3,6829,14873,641,8110677,6219830,14330507
P0196,Semi-Urban,1795,1,9.0,RCC Sloped Roof,Hard,Lustre Paint,Granite,Premium,713,48.8,27.8,6508,17875,809,7707243,4910759,12618002
P0197,Urban,1331,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,526,34.8,21.5,5490,12636,509,4326440,3350043,7676483
P0198,Urban,1161,2,4.5,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,451,25.7,21.0,5000,11243,490,2794215,1811781,4605996
P0199,Semi-Urban,1195,1,6.0,Metal Sheet Roof,Hard,Standard Acrylic,Ceramic Tiles,Basic,501,29.9,18.3,4289,10996,479,2905587,1818667,4724254
P0200,Urban,985,2,6.0,Metal Sheet Roof,Soft,Distemper,Ceramic Tiles,Basic,432,25.3,17.6,3697,9369,356,2550012,1593268,4143280
P0201,Urban,1380,1,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,537,31.1,26.4,6097,12833,504,4163487,2964287,7127774
P0202,Semi-Urban,1734,3,6.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,757,47.5,33.2,7627,15790,818,8103769,5795335,13899104
P0203,Semi-Urban,1618,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,665,40.8,31.3,7273,14829,763,8661891,6282286,14944177
P0204,Urban,1106,2,6.0,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,429,28.1,18.0,4760,9790,552,2489949,1912754,4402703
P0205,Semi-Urban,1235,1,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,514,29.3,20.4,4665,11785,553,4680536,2993165,7673701
P0206,Rural,1666,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,668,42.8,32.5,7180,15270,765,7198449,5172372,12370821
P0207,Semi-Urban,1795,3,9.0,RCC Flat Roof,Soft,Lustre Paint,Italian Marble,Premium,689,47.7,33.2,6877,16785,734,7464826,4866081,12330907
P0208,Urban,1364,2,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,525,31.4,20.9,5455,11202,500,4569395,2842884,7412279
P0209,Semi-Urban,1616,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,706,44.7,29.5,7198,13417,681,7308547,4951885,12260432
P0210,Urban,1707,2,6.0,RCC Flat Roof,Hard,Royal Emulsion,Granite,Premium,674,38.0,28.7,6142,14053,662,6936959,5070349,12007308
P0211,Urban,1181,2,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,498,26.6,23.3,5025,10833,560,4336841,3341550,7678391
P0212,Urban,1371,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Ceramic Tiles,Standard,552,33.4,24.7,5897,12255,566,4728660,2901432,7630092
P0213,Urban,1378,2,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,578,33.2,24.9,4856,11344,508,4510900,3384164,7895064
P0214,Urban,1585,2,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,691,40.1,30.3,6548,15166,697,8047891,5712752,13760643
P0215,Rural,1373,1,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,595,34.5,22.2,5720,11203,571,4296941,3244172,7541113
P0216,Urban,1434,1,9.0,RCC Flat Roof,Hard,Lustre Paint,Imported Vitrified Tiles,Premium,559,35.9,22.0,5121,13117,623,6746529,4264940,11011469
P0217,Urban,1726,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,770,46.7,28.4,6174,14394,636,8396883,6402071,14798954
P0218,Urban,1428,2,9.0,Slab Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,550,31.5,26.2,5914,12597,604,4238288,3007558,7245846
P0219,Urban,1398,1,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,554,31.6,22.2,6007,13078,603,4316905,3018465,7335370
P0220,Rural,1063,1,6.0,Metal Sheet Roof,Medium,Distemper,Mosaic,Basic,458,26.5,19.3,4506,9805,374,2328327,1744407,4072734
P0221,Semi-Urban,1336,1,6.0,RCC Flat Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,568,33.1,24.6,5502,12207,479,4348813,2923837,7272650
P0222,Semi-Urban,1385,2,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,555,36.5,25.6,5663,13680,557,4593624,3400457,7994081
P0223,Semi-Urban,1746,2,6.0,RCC Flat Roof,Hard,Lustre Paint,Granite,Premium,732,41.1,32.3,7101,16748,803,6559133,4434936,10994069
P0224,Urban,1250,2,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,554,29.3,19.3,4773,10261,461,4240184,2892997,7133181
P0225,Urban,1640,2,6.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,637,41.9,27.2,6768,15771,724,5866799,4287855,10154654
P0226,Urban,1735,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,734,39.0,26.8,6370,15677,662,6714575,4922529,11637104
P0227,Urban,964,1,6.0,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,403,25.3,17.7,4152,9420,455,2700114,2111751,4811865
P0228,Semi-Urban,1254,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,488,34.1,21.9,5235,10631,581,4365409,2842990,7208399
P0229,Urban,972,1,6.0,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,379,22.3,16.2,3454,8130,480,2583297,1827385,4410682
P0230,Semi-Urban,1344,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,536,31.2,25.4,5926,11747,621,4742439,2983671,7726110
P0231,Semi-Urban,1051,1,4.5,Metal Sheet Roof,Soft,Distemper,Mosaic,Basic,405,26.9,18.3,4252,10354,505,2539407,1643406,4182813
P0232,Urban,1364,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,547,30.5,21.7,4781,12127,494,4754679,3157138,7911817
P0233,Urban,1328,2,6.0,Slab Roof,Hard,Premium Acrylic,Vitrified Tiles,Standard,567,31.2,25.7,4872,10766,607,4675020,3268554,7943574
P0234,Semi-Urban,1190,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,491,31.8,23.7,5274,11742,488,4342378,3041019,7383397
P0235,Semi-Urban,1494,3,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Italian Marble,Premium,668,39.0,27.1,5633,12695,734,8443620,6167339,14610959
P0236,Semi-Urban,1405,1,6.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,585,34.6,27.3,5627,12666,520,4576078,2817042,7393120
P0237,Urban,1488,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,633,36.5,25.7,5589,14142,635,6004993,4361826,10366819
P0238,Urban,1724,2,6.0,RCC Flat Roof,Medium,Royal Emulsion,Imported Vitrified Tiles,Premium,667,43.7,30.3,6519,16627,798,9046691,5931980,14978671
P0239,Semi-Urban,1246,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Vitrified Tiles,Standard,493,33.0,24.4,4495,10547,576,4451956,3270827,7722783
P0240,Semi-Urban,1581,2,9.0,RCC Flat Roof,Medium,Apex Weather Proof,Imported Vitrified Tiles,Premium,601,42.2,27.4,7096,14175,787,6298374,4107446,10405820
P0241,Urban,1187,1,6.0,RCC Flat Roof,Medium,Standard Acrylic,Ceramic Tiles,Basic,530,27.0,17.9,5227,9658,592,2800570,1737824,4538394
P0242,Urban,1148,1,6.0,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,508,28.7,19.1,4140,11373,412,2622084,1915500,4537584
P0243,Urban,1166,2,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,505,26.0,22.5,4219,9728,491,2610701,1709700,4320401
P0244,Urban,1203,1,6.0,RCC Flat Roof,Soft,Premium Acrylic,Ceramic Tiles,Standard,531,27.9,19.8,4558,10531,492,4409531,3030539,7440070
P0245,Urban,1409,1,9.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,547,34.4,26.7,5242,11796,694,7704956,5751276,13456232
P0246,Urban,1046,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,405,29.2,17.7,4471,9084,464,2840239,2129376,4969615
P0247,Urban,1300,2,9.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,555,35.8,23.5,5622,12190,562,4560499,3377564,7938063
P0248,Urban,1188,1,6.0,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,468,29.5,22.6,4372,9765,573,2884151,2083591,4967742
P0249,Semi-Urban,1140,1,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,476,26.5,20.2,4254,11055,466,2313500,1711847,4025347
P0250,Semi-Urban,966,1,6.0,RCC Flat Roof,Soft,Distemper,Mosaic,Basic,404,24.4,15.4,3541,9498,385,2528943,1813895,4342838
P0251,Semi-Urban,1737,2,9.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,686,47.3,26.8,6926,16297,676,6986702,4707414,11694116
P0252,Semi-Urban,1447,2,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,634,40.4,27.4,5934,12557,624,4044306,3146030,7190336
P0253,Semi-Urban,974,1,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,382,25.8,17.3,3607,8360,450,2618472,1827483,4445955
P0254,Urban,1652,2,9.0,RCC Flat Roof,Hard,Apex Weather Proof,Granite,Premium,699,43.1,30.3,6626,14632,591,8328019,6508336,14836355
P0255,Urban,1736,3,9.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,753,48.4,31.0,6669,16139,625,7162516,4505787,11668303
P0256,Urban,1272,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,559,28.6,21.3,5317,10873,603,4428890,2898952,7327842
P0257,Semi-Urban,1080,1,4.5,RCC Flat Roof,Medium,Distemper,Mosaic,Basic,460,26.6,21.3,4556,10649,463,2370686,1748419,4119105
P0258,Urban,1294,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,556,35.4,23.2,4689,10666,592,4411803,3314281,7726084
P0259,Urban,1289,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Ceramic Tiles,Standard,506,29.0,22.1,5360,11440,504,4443587,3043624,7487211
P0260,Urban,1615,2,6.0,RCC Flat Roof,Medium,Apex Weather Proof,Italian Marble,Premium,710,35.9,24.6,6659,13123,643,8803960,5860377,14664337
P0261,Urban,1206,1,6.0,RCC Flat Roof,Hard,Plastic Emulsion,Ceramic Tiles,Standard,478,27.9,21.1,5148,9797,526,4071928,3107670,7179598
P0262,Urban,1075,1,6.0,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,438,27.6,20.8,4134,10005,432,2419622,1633121,4052743
P0263,Semi-Urban,1742,3,9.0,RCC Sloped Roof,Medium,Royal Emulsion,Granite,Premium,696,44.9,30.1,6936,16576,683,6460699,4696088,11156787
P0264,Rural,1167,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Ceramic Tiles,Standard,489,29.3,18.1,4103,11585,474,4206870,2849354,7056224
P0265,Urban,975,2,4.5,RCC Flat Roof,Soft,Standard Acrylic,Ceramic Tiles,Basic,407,22.6,18.1,3677,8416,464,2756384,1926729,4683113
P0266,Semi-Urban,1404,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,631,34.7,22.8,5535,13611,534,4568194,2834178,7402372
P0267,Urban,1253,2,6.0,RCC Flat Roof,Medium,Premium Acrylic,Ceramic Tiles,Standard,483,31.6,24.5,4871,12102,463,4920242,3065561,7985803
P0268,Semi-Urban,1207,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,537,28.0,22.9,5115,9810,492,4581879,3359455,7941334
P0269,Urban,1441,2,6.0,Slab Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,643,33.6,24.0,6133,12662,635,4683390,3299556,7982946
P0270,Semi-Urban,1475,2,6.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,649,37.6,27.1,5187,12799,692,6291124,4850531,11141655
P0271,Urban,1164,1,6.0,RCC Flat Roof,Hard,Distemper,Mosaic,Basic,476,29.1,22.8,4908,10667,546,2805568,1779728,4585296
P0272,Urban,1185,1,6.0,RCC Flat Roof,Soft,Standard Acrylic,Ceramic Tiles,Basic,459,26.3,22.1,5183,10003,442,2522763,1952345,4475108
P0273,Semi-Urban,1098,1,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,440,29.3,19.1,4092,9148,439,2657516,1653865,4311381
P0274,Urban,991,1,4.5,RCC Flat Roof,Medium,Distemper,Ceramic Tiles,Basic,412,22.5,19.6,4098,9445,358,2807433,2180690,4988123
P0275,Urban,1445,2,6.0,RCC Flat Roof,Hard,Premium Acrylic,Ceramic Tiles,Standard,592,36.4,25.1,5619,14124,699,4170571,3018222,7188793
P0276,Semi-Urban,1387,2,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,554,32.8,23.6,6239,11248,605,4478340,3448566,7926906
P0277,Urban,1179,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,480,27.8,19.7,5062,10906,578,2667210,1772352,4439562
P0278,Urban,1425,2,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,628,39.5,23.1,6245,11676,510,4320714,3289481,7610195
P0279,Urban,1434,1,6.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,582,38.2,22.7,5570,12467,594,4761191,3083821,7845012
P0280,Urban,1163,2,4.5,Metal Sheet Roof,Hard,Standard Acrylic,Ceramic Tiles,Basic,453,26.9,18.5,4666,11268,420,2887997,1906016,4794013
P0281,Semi-Urban,1031,2,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,420,28.0,16.7,4605,10223,399,2830364,2042155,4872519
P0282,Semi-Urban,1603,1,6.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,701,36.6,30.0,5687,15864,732,8312591,6520520,14833111
P0283,Semi-Urban,1223,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Ceramic Tiles,Standard,497,30.5,18.4,4882,12196,479,4386158,3127923,7514081
P0284,Semi-Urban,1756,2,6.0,RCC Flat Roof,Soft,Lustre Paint,Italian Marble,Premium,710,45.2,31.1,6366,15065,677,8061745,6012222,14073967
P0285,Urban,1368,2,6.0,Slab Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,548,36.0,23.0,5154,12126,497,4659368,3044662,7704030
P0286,Urban,1631,2,9.0,RCC Sloped Roof,Medium,Lustre Paint,Italian Marble,Premium,718,40.2,25.6,7114,15710,811,8126299,5096126,13222425
P0287,Semi-Urban,1330,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,505,31.3,23.4,5615,11103,574,4251768,2800805,7052573
P0288,Urban,1386,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,571,31.6,27.2,6053,13049,507,4262294,2764786,7027080
P0289,Semi-Urban,1488,2,6.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,591,40.1,23.0,6496,13389,586,7969872,5868950,13838822
P0290,Urban,1236,1,6.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,478,32.0,23.9,5349,11435,446,4533411,3465637,7999048
P0291,Urban,1446,2,9.0,RCC Sloped Roof,Medium,Apex Weather Proof,Granite,Premium,560,38.2,23.7,5985,12554,722,6499430,4787965,11287395
P0292,Urban,1496,3,6.0,RCC Flat Roof,Hard,Lustre Paint,Italian Marble,Premium,578,39.0,29.0,6005,13581,580,8881000,5772360,14653360
P0293,Semi-Urban,1140,1,6.0,Metal Sheet Roof,Medium,Distemper,Ceramic Tiles,Basic,470,31.4,20.8,4345,10317,410,2837234,1751130,4588364
P0294,Urban,1367,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,582,30.4,24.6,5973,13371,570,4393682,3084184,7477866
P0295,Urban,1565,2,9.0,RCC Flat Roof,Soft,Lustre Paint,Italian Marble,Premium,668,37.6,25.5,6465,12598,716,7889992,5463832,13353824
P0296,Semi-Urban,1242,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,487,27.7,22.3,5390,9979,443,4536131,3095748,7631879
P0297,Semi-Urban,1022,1,6.0,Metal Sheet Roof,Medium,Distemper,Mosaic,Basic,439,26.7,19.9,4281,8756,464,2502364,1824374,4326738
P0298,Semi-Urban,1486,2,6.0,RCC Flat Roof,Medium,Royal Emulsion,Granite,Premium,645,39.0,28.5,5284,14109,709,7560174,5538564,13098738
P0299,Semi-Urban,1266,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,524,34.8,20.3,4613,12049,538,4496067,2818094,7314161
P0300,Urban,1606,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Italian Marble,Premium,655,44.8,26.4,6094,13986,698,7608886,5620753,13229639
P0301,Rural,1425,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Granite,Premium,609,33.0,25.1,5655,11602,673,6572084,4756343,11328427
P0302,Urban,1232,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,482,33.9,23.5,4748,11471,530,4513585,3001198,7514783
P0303,Semi-Urban,1188,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,479,27.4,17.9,4712,11133,456,4332422,3296311,7628733
P0304,Semi-Urban,1446,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,580,38.4,28.5,6421,12073,695,4395903,2879120,7275023
P0305,Urban,1158,1,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,495,27.6,20.0,4163,11344,567,4373152,2694132,7067284
P0306,Semi-Urban,1051,1,6.0,RCC Flat Roof,Soft,Standard Acrylic,Ceramic Tiles,Basic,418,27.3,20.8,4641,9465,493,2371413,1802546,4173959
P0307,Rural,1181,2,6.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,456,28.8,20.2,4741,11122,573,4525855,3438497,7964352
P0308,Urban,1645,1,6.0,RCC Flat Roof,Soft,Royal Emulsion,Imported Vitrified Tiles,Premium,676,43.2,30.7,6043,14348,733,5694698,4397957,10092655
P0309,Urban,1090,1,6.0,Metal Sheet Roof,Medium,Distemper,Mosaic,Basic,476,28.7,17.7,4807,9056,483,2547324,1987475,4534799
P0310,Semi-Urban,1513,2,6.0,RCC Flat Roof,Medium,Apex Weather Proof,Italian Marble,Premium,650,39.3,25.3,5324,14191,744,6807832,4577888,11385720
P0311,Urban,1319,2,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Ceramic Tiles,Standard,536,30.4,22.1,5197,10734,576,4483922,3041231,7525153
P0312,Semi-Urban,1506,2,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,622,37.5,26.9,6651,14460,629,6119184,4026664,10145848
P0313,Urban,1729,1,6.0,RCC Flat Roof,Medium,Royal Emulsion,Italian Marble,Premium,770,44.6,33.7,6840,14348,846,7321606,5140229,12461835
P0314,Urban,958,1,6.0,Metal Sheet Roof,Soft,Distemper,Ceramic Tiles,Basic,369,26.7,17.6,3626,8786,351,2658666,1643729,4302395
P0315,Urban,1088,1,6.0,Metal Sheet Roof,Hard,Distemper,Ceramic Tiles,Basic,452,24.1,18.5,4048,9864,543,2826151,1821878,4648029
P0316,Semi-Urban,1292,2,6.0,RCC Flat Roof,Soft,Premium Acrylic,Vitrified Tiles,Standard,521,28.5,23.8,5588,10714,483,4637698,2997566,7635264
P0317,Semi-Urban,1443,2,9.0,RCC Flat Roof,Soft,Plastic Emulsion,Vitrified Tiles,Standard,597,39.5,28.2,5176,14246,683,4279602,2765258,7044860
P0318,Urban,1557,1,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,621,38.0,31.0,6284,14021,605,8444556,5581039,14025595
P0319,Urban,1500,3,6.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,641,37.5,28.2,5977,12448,670,5844627,4402935,10247562
P0320,Semi-Urban,1712,3,9.0,RCC Flat Roof,Medium,Lustre Paint,Imported Vitrified Tiles,Premium,748,47.7,30.0,6770,16275,633,7745471,5320109,13065580
P0321,Urban,1354,2,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Ceramic Tiles,Standard,526,35.6,21.0,5582,11796,634,4069509,3019963,7089472
P0322,Semi-Urban,1318,2,9.0,RCC Flat Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,542,29.9,22.8,5737,12076,476,4135194,3100487,7235681
P0323,Urban,1335,2,6.0,Slab Roof,Medium,Plastic Emulsion,Vitrified Tiles,Standard,586,36.0,22.7,5117,11993,581,4227703,3133783,7361486
P0324,Semi-Urban,1483,2,9.0,RCC Flat Roof,Hard,Royal Emulsion,Italian Marble,Premium,609,34.5,27.4,6491,12725,537,7184811,5247602,12432413
P0325,Semi-Urban,1189,1,4.5,RCC Flat Roof,Soft,Distemper,Ceramic Tiles,Basic,453,29.1,22.4,4564,10852,452,2616820,1711939,4328759
P0326,Urban,1331,1,9.0,RCC Flat Roof,Hard,Plastic Emulsion,Vitrified Tiles,Standard,554,31.2,20.8,4823,12200,612,4548914,3303627,7852541
P0327,Urban,1186,2,9.0,Slab Roof,Hard,Premium Acrylic,Vitrified Tiles,Standard,460,26.1,23.7,5102,11354,505,4119564,3007660,7127224
P0328,Urban,1250,1,9.0,RCC Flat Roof,Medium,Premium Acrylic,Vitrified Tiles,Standard,536,28.3,24.1,5041,11178,621,4403022,2881651,7284673
